@relation MyRelation

@attribute component {UI}
@attribute reporter {Mike_Wilson,Alexander.Veit,zralston,georg.rehfeld,gunnar,kaj.hejer,mlgiroux,Jan.Dieckmann,tom.schindl,ralf,yenlu,pascal,mikelb,ktp420,mstevens,ulrich,rohit.khariwal,mhilpert,boxall,elaskavaia.cdt,cagatayk,jerome_lanneluc,remy.suen,schor,mark.imbriaco,herr,jared_burns,dwhare,nivek,fabiofz,jan.ptacek,fullung,mark.melvin,levik,vikingofspiking,akiezun,Knut.Friedhelm,alvin,aligrudi,jed.anderson,dev,nberntsen,jakub.jurkiewicz,asahata,anma-e,mikael,yevshif,soudant,eric.ter.haar,benkuntz,bogofilter+eclipse.org,peter_burka,Kenneth.J.Rabe,e03253,ray,douglas.pollock,emilyz,rgrocha,tparajia,mgoyal,utilisateur_182,sxenos,amine,redpath,l.troitski,jhelming,todd,philip.hachey,frederic_fusier,mnsachinjamadagni,john.arthorne,h1055071,kcchouette,eclipse-bugs,shaun,ralf.petter,junk,stephan,scela,lufimtse,shinfoo,lars.millberg,shenyi8888,sezgin.halibov,unknown,d4,paul,tmowlem,elias,florianbeckmann,cvogt,christian.campo,gaohaiy,vbhadrir,d.gabriel,onefolder2,hceylan,wmitsuda,twolff,bpasero,a,konstantin.komissarchik,amottadelli,hauser,mihneag,George.Lindholm,askar,svetlin.zarev,noopur_gupta,lasse,giovanni,michael.acker,tom.seidel,sfg,johan.walles,zvikico,sravankumarl,mahag,ahunter.eclipse,Lars.Vogel,bugs,kevin,s,mik.kersten,give.a.damus,eharris,dirk_baeumer,venkat.iyer,chanskw,florian,tanmatra,cbridgha,ines,hariharan.sethuraman,paulslau,bradleyjames,cocoakevin,tim,debbie_wilson,patrick_streule,srikara.rao,anne.jacko,wbeckwith,djo,erich_gamma,miguelmargarido_work2,p.hinsch,info,cdchu,kovesp,ads,account4sanjay,java97301,pascal.rapicault,christophe.cornu+eclipse,dvdgsng,bflat1,commer,kurtg,larrywil,robert.munteanu,lhein.smx,mseele,csmclaren,valentinbaciu,jean-michel_lemieux,bblajer,shujie_liao,Winchest,ZO_tkd,Chris_Laffra,Adam_Schlegel,fgiust,tmccrary,scotsummers,j.c.yip,curtispd,cwiebe,jcagle,blancett,jcompagner,alex.blewitt,jan.rosczak,grk,myjunk777,stori,lincy.alex,Michael_Rennie,Romans.Dostovalovs.x,nicolas.bros,stryker,ashish.banerjee,jleotta,simon,turnham,redel,nitschke,david_williams,teddy.walker,tanakas,eclipse.dserodio,jfrantzius,mantas.balnys,sebastian.zarnekow,jontis73-pub,mei_thom,dmm,Ichthyostega,benjamin.muskalla,manderse,Peter.Sinzinger,yarik,marcelop,tmhouser,enrico,eneufeld,achapiro,rlcox,fraenkel,ob1.eclipse,mjesseni,juergen,marc.khouzam,farmboy0,for.work.things,Vikas.Chandra,alin.alexandru,leom,kstutesman,ankur_sharma,dkhei,benno.baumgartner,tomasz.zarna,luoxiaol,helmut.haigermoser,mccull1,hiroyuki.inaba,Dmitry_Karasik,josephmolnar,spriet,vlsergey,ruediger.herrmann,mfaraj,ldng,peter.brant,daquinte,hzawawy,wujulia,sarika.sinha,Michal.Tkacz,eclipse.org.2,zvonov,aleherb+eclipse,sja.eclipse,ekuleshov,djkoo,binlin1,james,zluo,psuzzi,Achim.Loerke,adam_crume,waltonst,lennyhoffman,gsteinbacher,rillig,amak,rdowdall,trajano,wassim.melhem,gothxx,alruiz,flavio.donze,khjgfty4regrdhg,max,denis.roy,lindawat,ajp,ravich11,xmehaut,iristest2004,nevicosi,pascal.forhan,bfische,martin.kunert,albert.tregnaghi,aricart,patmc,emoffatt,beele,danb1974,jeffliu,lj,lynne_kues,konradk,sudol.wojciech,ironduck,arunachalaml,ognen.ivanovski,sppatel2,panagiotis.korros,camle,lyndsey.padget,jsholl,scott.pedigo,rfrost,jan.henke,papez,me,liuj1,luigiwalser,mn,gabriele.garuglieri,jgilbert01,fjor,roland,jli1,cdeadmin,dj.houghton,pierre.lakreb,boris,hhenry,jonah,pwebster,tjbishop,rfarrjr,bob,channingwalton,bamir,mail,deboer,gheorghe,simon_arsenault,wim.deblauwe,marcel_bihr,coryking,myspamb8,GerardEns,Szymon.Brandys,mark.j.miller,barney2k7,hhelena,pawel.1.piech,chenwmw,jverhaeg,michschn,digulla,snorthov,tlroche,mario.winterer,jeffmcaffer,johnjbarton,l.bolzani,ric.almeida,erwin.tratar,pensador1982,dimitar.giormov,soloturn,yoav,alef75,christian.pontesegger,michal.n,macca,curtis.windatt.public,sean_montgomery,code,aeschli,tobias.bosch,error-reports-inbox,karenfbutzke,cse,dejan,kim_woods,torresdyl,shaunspiller,marcin.1.dabrowski,register.eclipse,nick_edgar,jkobal,chriscallendar,lanz,masterofbonk,andrew_cornwall,mickael.lanoe,sanosuke001,dietmar.hechensteiner,alexf,Tod_Creasey,kim.moir,joerg.lewek,peter,mbmast,wuntoy,hilger.steenblock,sehyo,jgowder,jal,zorzella,thomas.mauch,ed.burnette,will.horn,med.medin.2014,akurtakov,java,pboparai,alex,m.moebius,eclipse.sprigogin,buchar,philippe_mulet,uwe.st,marcel,dominik.stupan,vasili.gulevich,mhe,dennis.nguyen.06,bsd,jamie.beznoski,jeff.taylor,iyers,michael.keppler,t.p.ellison,oyvind.harboe,schtoo,nguinto,susan,davidmichonneau,gro.espilce,philip_gautam,ermilanardeshana,dan.j.allen,lindasab,eclipse,gillis+eclipse,Matthew_Hatem,Mario.Herzig,rotbartf,ajayinfo,billy.biggs,dkratzmann,cedric.dumoulin,sakgoy2001,amir,daniel.rolka,yogeshbitake,kchong,Alexander.Pavlov,jlanuti,Darin_Swanson,clau,robert.roth.off,marc-andre.laperle,vlis,loskutov,bsetzeralt,eduardo_pereira,Karice_McIntyre,jani4java,mathurin.lm,d_a_carver,jkhalil,uwe_ewald,fabian.pfaff,jcalder,angvoz.dev,nswillia,fukanchik,celek,leif.hanack,david,Kevin_Haaland,danrubel,ahussain,dyn,darren5972,daniel.kruegler,jesper.eskilson,abhishek.kishore,nejedly,damian_biollo,brockj,imperato,srpape,eric,Jason_Montojo,jeandersonbc,oleg.krasilnikov,svandijk,stephan.sigrist,103879u,sbolin,olsok,scohen,amro.alakkad,robertma,hudsonr,chris,lviggiano,schacher,Olivier_Thomann,raap,danjou,dirk.fauth,mehdi.rabah,brecht.verhoeve,rulatir,stephen.k.cooper,molk,ryan_cooper,chris.ingham,cbateman,saurav.sarkar1,karsten,oliver.oo.schaefer,dmcreynolds,silvio_boehler,pietsch,sdavids,zachcalvert,igdevaal,mickey,danielw,Kevin_McGuire,quartz12h,ian,ljb,francisu,ggregory,jani.latvala,roland.illig,kid,tomerm,greg_adams,mdelder,freidin.alex,h.klene,jjmontes,taro_k,bfitzpat,kitlo,ebiggers3,grant_gayed,tchize,estrabykina,ebelisar,gadi,nboldt,annamalai.c,t.jacob,latoya_sankey,andrew.niefer,martin.winandy,dgolovin,mistria,manahan,zulus,michaelvanmeekeren,ramanday,jpetrakis,ppalaga,tim.myer,birsan,andras,eclipse.felipe,alexspr,steven.dawson.az,mlippert,cvaniez,radu,saveez,markus.duft,dongbin,mjmeijer,marcel.bruch,david.green,axb,stumc68,eclipse-site,mmcroberts,andrew.hayden,ian.skerrett,justin,nmiya,rcamara,matt,andrea.guarinoni,pchapman,glongman,duongn,jljlmatu,joe.remes,markus_keller,alokmanjrekar,simon.scholz,cditcher,christophe.bismuth,litrik,bruno.do.medeiros,shawn.minto,jeem,olivier.prouvost,mvsteenbergen,nitind,reckord,dcorbin,misja.alma,anandn,bokowski,max.gilead,abeerbagul,John_Wiegand,john.ruud,dave_hunter,davelin,nyap,jeff,lubomir.marinov,eklipse,gdtaylor,ruthdaly,tobias-spam00,jlquinn,cgold,eclipsebugs,jamesblackburn+eclipse,mqm,richkulp,r.ellis.michael,jhalhead,imontoya,bimargulies,andreas.sewe,veronika_irvine,lparsons,antoniodiegoluz,sorensm,titou10.titou10,fuse,mjasmine,eclipse.10.dhanak,avijayr,wes,dirkhagener,herve.blanloeil,dsnoddy,markus.meilchen,juergen.becker,popescu,ma.becker,Andrei.Pozolotin,jonathan.ball,xavier.mehaut,ulasoz2006,antoine,David.Biesack,bnicolle,ildella,sptaszkiewicz,Philipp.Bouillon,igor,handybradwfmc,christian.koestlin,pasdemoi,mnemo,morten-eclipse,kdevolder,eddie,apupier,patrick.tasse,andre_weinand,clg-business,jenyapol,rolarenfan,evans,jswanke,schizosfera,claude,harawata,trevor.campbell,thibaultleouay,gslade,overholt,qualidafial,rodrigo,alexsani,christof_marti,scabanovich,flexx,hansm,paul.fullbright,cjdaly,dimzzy,tobias_widmer,sam.davis,jqian,shahla,markaf,jonathan.aquino,klara.ward,lance,bshingar,barlock,sebastian.ratz,mui,kentb,matsu,kalman,davor.cubranic,wim.jongman,wild,Matthias.Striegl,alderson,pavel4u,dmisic,support,jelle,4g3xdnq02,darin.eclipse,psubrama,jjsimpso,stephan.herrmann,valentam,daniel_megert,zakgof,pavel.petr,lmandel,david.weiser,kehn}
@attribute assignedTo {loskutov,Mike_Wilson,eduardo_pereira,Karice_McIntyre,mathurin.lm,dsayed,Platform-UI-Inbox,Michael_Rennie,tom.schindl,christian.pontesegger,nicolas.bros,fabian.pfaff,mistria,ericwill,michal.n,michaelvanmeekeren,stryker,ma.becker,curtis.windatt.public,Kevin_Haaland,dejan,martin.karpisek,daniel.kruegler,noopur_gupta,emoffatt,david_williams,register.eclipse,Lars.Vogel,nick_edgar,lynne_kues,ipun,sudol.wojciech,hsoliwal,valentam,fabiofz,hilger.steenblock,Tod_Creasey,benjamin.muskalla,remy.suen,srt,grprakash,andre_weinand,eneufeld,krzysztof.michalski,psuzzi,me,anma-e,ob1.eclipse,markus_keller,knut_radloff,simon.scholz,akurtakov,raap,benkuntz,dirk.fauth,mikael,olivier.prouvost,qualidafial,tomasz.zarna,axel.richard,eclipse.sprigogin,djo,douglas.pollock,bokowski,info,krzysztof.daniel,vasili.gulevich,jonah,sxenos,bsd,pwebster,jhelming,deboer,gheorghe,susan,simon_arsenault,csmclaren,francisu,john.arthorne,Kevin_McGuire,lufimtse,Winchest,eclipse,ralf.petter,sezgin.halibov,scela,wim.jongman,Szymon.Brandys,eklipse,tmccrary,billy.biggs,platform-ui-triaged,curtispd,mdelder,freidin.alex,duongn,lparsons,daniel.rolka,daniel_megert,akurtako,titou10.titou10,paulpunke,Mario.Herzig,becker.matthias,robert.roth.off,david.weiser,jan.rosczak}
@attribute version {4.4.1,4.5.1,2.1.1,3.3.2,1.0,2.0,2.1,4.0,3.1,2.0.2,3.4,3.5,3.6,3.3.1,3.8,3.6.1,3.6.2,3.4.2,3.2.2,3.3,3.5.1,3.0,4.5,4.1,3.0.1,4.3,3.2.1,4.2.1,4.2.2,3.2,4.2,3.1.1,4.4,3.8.2,4.6,4.7,2.0.1,4.5.2,3.0.2,3.1.2,4.3.1,3.7,4.3.2,4.4.2,3.7.1,3.8.1,2.1.2,2.1.3,3.4.1}
@attribute reportedPlatform {All,PC,Macintosh,Sun,Other}
@attribute operationSystem {All,'Windows Server 2003','Windows NT','Windows All',Linux-GTK,Solaris,'Mac OS X',Solaris-Motif,QNX-Photon,'Windows Vista',other,Linux,'Windows XP','Mac OS X - Carbon (unsup.)',Linux-Motif,'Windows 7','Windows 2000','Windows 98','Windows 10','Windows 8',Solaris-GTK}
@attribute milestone {'3.7 M1','3.7 M3','3.7 M4','3.7 M5','3.7 M6','3.7 M7',4.2.2+,'2.1 RC1',4.0,'2.1 RC3',4.2,'4.2 RC3','4.4 RC2','4.4 RC3','4.6 RC2',4.5.1,3.7.1,3.7.2,3.3.1,3.3.2,4.7,'4.4 RC1',4.5.2,'4.6 RC1',4.5,'3.2 M1','3.2 M2','4.3 M5','2.1 M2','2.1 M3','3.2 M5','3.2 M6','4.3 M7','3.2 M3','2.1 M5','2.1 M1','3.2 M4','4.3 M6','4.6 M1','4.6 M2','4.6 M3','3.5 M2','3.5 M3','4.6 M6','3.5 M5','3.5 M6','3.5 M7','4.6 M7','4.6 M5','3.5 M4',3.0,3.1,'3.1 RC2',3.2,'3.1 RC4','3.3 RC2',3.3,'3.5 RC3','3.5 RC1','3.1 RC3',4.4.2,'3.5 RC4',3.6,'3.3 RC1',3.4,3.5,'3.5 RC2',3.7,'4.6 M4','3.3 RC3','3.8 M4','3.1 RC1',3.2.1,'3.3 RC4','4.1 M5','3.0 M5','3.0 M7','3.0 M8','3.0 M9','4.4 M3','3.3 M2','3.3 M3','4.4 M6','4.4 M7','3.3 M5','3.3 M7','4.4 M4','3.3 M6',2.1,'3.3 M1','4.4 M5',3.1.1,'4.3 RC1','4.5 RC1','4.3 RC3','4.5 RC3',3.5.1,'3.3 M4','4.7 M1','4.7 M2','4.7 M3','4.7 M4','3.6 M3','3.6 M4','3.6 M5',---,'3.6 M6','3.6 M7','4.7 M5','4.7 M6','4.7 M7','3.6 M2','3.6 M1',4.4.2+,'3.1 M1','3.1 M2','3.1 M3','4.2 M6','3.1 M5','4.2 M7','3.1 M7','2.0 M6','3.0 RC1','3.1 M4','3.2 RC2','3.2 RC3','3.2 RC4',3.0.1,'3.2 RC5',4.2.2,4.2.1,'3.6 RC2',3.8.1,'3.2 RC1',3.4.1,3.4.2,4.6.3,'3.0 RC2','3.2 RC6','3.2 RC7','3.4 RC1',4.6.1,4.6.2,'3.4 M1','3.4 M2','3.4 M3','3.4 M4','3.4 M5','3.4 M6','3.4 M7','4.5 M7','4.2 M4','4.5 M6','2.0 M3','3.1 M6','4.5 M2','4.2 M5','3.6 RC1'}
@attribute numberCc numeric
@attribute numberAdditionalLinks numeric
@attribute numberAttachments numeric
@attribute numberComments numeric
@attribute numberBlocks numeric
@attribute numberDependsOn numeric
@attribute priority {high,medium,low}
@attribute severity {minor,normal,major,blocker,trivial,enhancement,critical}
@attribute votes numeric

@data
UI,Lars.Vogel,fabian.pfaff,4.7,PC,All,'4.7 M7',1,2,0,0,0,1,medium,normal,0
UI,michal.n,michal.n,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,minor,0
UI,loskutov,loskutov,4.4,PC,'Windows NT','4.7 M7',0,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M7',1,6,0,0,0,0,medium,normal,0
UI,nick_edgar,Kevin_Haaland,2.0,All,'Windows 98',---,0,2,0,0,0,0,medium,normal,0
UI,myjunk777,Platform-UI-Inbox,4.6,Macintosh,'Mac OS X',---,2,0,0,0,0,0,medium,normal,0
UI,mbmast,Platform-UI-Inbox,3.1,PC,All,---,3,0,0,0,0,0,medium,enhancement,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M7',5,2,0,0,0,1,medium,normal,0
UI,wuntoy,bokowski,3.2,PC,'Windows XP',---,2,0,0,0,0,0,medium,enhancement,0
UI,Lars.Vogel,ipun,4.7,All,All,'4.7 M2',9,8,0,0,0,0,medium,enhancement,0
UI,Lars.Vogel,Lars.Vogel,4.4,All,All,---,13,0,0,0,0,13,medium,enhancement,0
UI,psuzzi,psuzzi,4.7,PC,'Windows NT',---,1,5,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Platform-UI-Inbox,4.6,PC,Linux,---,6,0,0,0,0,1,medium,normal,0
UI,sravankumarl,psuzzi,4.7,PC,'Windows 7',---,2,0,0,0,0,0,medium,normal,0
UI,Lars.Vogel,david.weiser,4.7,PC,Linux,'4.7 M7',2,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,psuzzi,4.7,PC,Linux,---,5,1,0,0,0,0,medium,normal,0
UI,jani4java,Platform-UI-Inbox,4.7,PC,'Windows 8',---,1,0,0,0,0,0,medium,minor,0
UI,markus_keller,psuzzi,4.7,All,All,4.7,3,0,0,0,0,1,medium,normal,0
UI,Lars.Vogel,psuzzi,4.7,PC,Linux,'4.7 M2',6,9,0,0,0,0,medium,normal,0
UI,markus_keller,psuzzi,4.6,PC,'Windows 7','4.7 M7',6,3,0,0,0,1,medium,normal,0
UI,khjgfty4regrdhg,Platform-UI-Inbox,4.6,PC,'Windows 7',---,1,0,0,0,0,0,medium,normal,1
UI,psuzzi,Platform-UI-Inbox,4.7,PC,'Windows NT',---,2,0,0,0,0,0,medium,minor,0
UI,farmboy0,pwebster,4.2.1,PC,All,'4.4 M7',8,0,0,0,0,0,medium,normal,0
UI,psuzzi,psuzzi,4.7,PC,'Windows NT','4.7 M7',1,2,0,0,0,0,medium,trivial,0
UI,markus_keller,simon.scholz,4.6,All,All,---,4,0,0,0,0,1,medium,normal,1
UI,andrew.niefer,simon.scholz,4.5,All,All,'4.6 M6',13,6,0,0,0,1,medium,normal,8
UI,psuzzi,psuzzi,4.7,PC,'Windows NT',---,0,0,0,0,0,0,medium,normal,0
UI,loskutov,loskutov,4.7,PC,Linux,'4.7 M7',2,9,0,0,0,0,medium,normal,0
UI,Lars.Vogel,simon.scholz,4.5,PC,Linux,'4.7 M6',8,10,0,0,0,0,medium,normal,0
UI,remy.suen,psuzzi,4.2,All,All,'4.7 M3',4,8,0,0,0,0,medium,normal,0
UI,scela,scela,4.7,PC,Linux,'4.7 M7',0,4,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M7',4,2,0,0,0,0,medium,normal,0
UI,psuzzi,psuzzi,4.7,PC,'Windows NT','4.7 M7',4,5,0,0,0,0,medium,normal,0
UI,francisu,Platform-UI-Inbox,3.6,PC,Linux,---,3,0,0,0,0,0,medium,normal,0
UI,psuzzi,psuzzi,4.7,PC,'Windows NT','4.7 M7',3,5,0,0,0,0,medium,normal,0
UI,amir,mistria,3.4.1,PC,All,'4.7 M4',21,6,0,0,0,1,medium,enhancement,11
UI,loskutov,scela,4.5,PC,Linux,'4.6 M1',4,5,0,0,0,0,medium,normal,0
UI,markus_keller,markus_keller,4.7,All,All,'4.7 M7',1,2,0,0,0,1,medium,normal,0
UI,markus_keller,markus_keller,4.6,All,All,'4.7 M6',9,2,0,0,0,5,medium,normal,9
UI,ma.becker,ma.becker,4.7,Macintosh,'Mac OS X','4.7 M7',2,3,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Platform-UI-Inbox,4.7,PC,Linux,---,9,2,0,0,0,1,medium,blocker,1
UI,Lars.Vogel,david.weiser,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,1,medium,normal,0
UI,Lars.Vogel,david.weiser,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,d.gabriel,Platform-UI-Inbox,4.7,PC,'Windows 7',---,3,0,0,0,0,0,medium,normal,0
UI,Lars.Vogel,daniel_megert,4.7,PC,Linux,---,2,0,0,0,0,1,medium,normal,0
UI,ulasoz2006,psuzzi,4.6,PC,'Windows 7',4.7,14,2,0,0,0,0,medium,normal,10
UI,psuzzi,psuzzi,4.7,PC,'Windows NT',---,0,2,0,0,0,1,medium,minor,0
UI,denis.roy,Platform-UI-Inbox,4.2,PC,Linux,---,3,0,0,0,0,0,medium,normal,1
UI,Lars.Vogel,fabian.pfaff,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,fabian.pfaff,4.7,PC,Linux,4.7,1,0,0,0,0,0,medium,normal,0
UI,fabian.pfaff,psuzzi,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,1,medium,normal,0
UI,torresdyl,Platform-UI-Inbox,4.4.2,PC,'Windows 7',---,3,0,0,0,0,0,medium,normal,0
UI,fabian.pfaff,psuzzi,4.7,PC,Linux,'4.7 M7',3,2,0,0,0,0,medium,normal,0
UI,andreas.sewe,psuzzi,4.6,PC,'Mac OS X',---,2,2,0,0,0,0,medium,minor,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M2',2,2,0,0,0,2,medium,normal,0
UI,markus_keller,markus_keller,4.7,All,All,'4.7 M7',1,0,0,0,0,0,medium,normal,0
UI,ralf.petter,ralf.petter,4.7,PC,'Windows 7','4.7 M7',1,2,0,0,0,0,medium,minor,0
UI,myspamb8,Platform-UI-Inbox,4.6,Macintosh,'Mac OS X',4.6.3,1,0,0,0,0,0,medium,normal,0
UI,loskutov,loskutov,4.7,PC,All,'4.7 M7',2,2,0,0,0,0,medium,normal,0
UI,elaskavaia.cdt,ralf.petter,4.6,PC,All,'4.7 M7',5,4,0,0,0,0,medium,critical,0
UI,loskutov,loskutov,4.7,PC,Linux,'4.7 M7',0,3,0,0,0,0,medium,normal,0
UI,ruediger.herrmann,jhelming,4.6,PC,'Windows 7','4.7 M7',5,2,0,0,0,0,medium,normal,0
UI,error-reports-inbox,loskutov,4.6,All,All,4.6.2,7,5,0,0,0,0,medium,major,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,fabian.pfaff,4.6,PC,Linux,'4.7 M7',3,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,fabian.pfaff,fabian.pfaff,4.7,PC,Linux,'4.7 M7',1,4,0,0,0,1,medium,normal,0
UI,Lars.Vogel,david.weiser,4.7,PC,Linux,'4.7 M7',2,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,david.weiser,4.6,PC,Linux,'4.7 M7',2,0,0,0,0,0,medium,normal,0
UI,daniel_megert,Lars.Vogel,4.7,PC,'Windows 7','4.7 M7',2,2,0,0,0,2,medium,major,0
UI,Lars.Vogel,fabian.pfaff,4.6,PC,Linux,'4.7 M7',3,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.7,PC,Linux,'4.7 M7',1,4,0,0,0,0,medium,normal,0
UI,Lars.Vogel,fabian.pfaff,4.0,PC,Linux,'4.7 M7',1,4,0,0,0,1,medium,normal,0
UI,Lars.Vogel,fabian.pfaff,4.7,PC,Linux,'4.7 M7',2,3,0,0,0,2,medium,normal,0
UI,scohen,Platform-UI-Inbox,4.6,PC,'Windows 7',---,1,0,0,0,0,0,medium,major,0
UI,Lars.Vogel,david.weiser,4.7,PC,Linux,'4.7 M7',4,4,0,0,0,1,medium,normal,0
UI,Lars.Vogel,david.weiser,4.6,All,All,'4.7 M7',4,2,0,0,0,1,medium,normal,0
UI,Lars.Vogel,psuzzi,4.7,All,All,'4.7 M7',5,12,0,0,0,1,medium,enhancement,0
UI,manahan,Platform-UI-Inbox,3.0,PC,'Windows XP',---,0,0,0,0,0,0,medium,normal,0
UI,Lars.Vogel,fabian.pfaff,4.0,PC,All,'4.7 M7',23,2,0,0,0,3,medium,normal,0
UI,fabian.pfaff,Platform-UI-Inbox,4.7,PC,Linux,---,3,0,0,0,0,0,medium,normal,0
UI,daniel_megert,platform-ui-triaged,4.4,All,All,'4.4 M4',5,1,0,0,0,0,medium,major,0
UI,sarika.sinha,loskutov,4.7,PC,All,'4.7 M7',4,4,0,0,0,1,medium,critical,0
UI,Lars.Vogel,david.weiser,4.4,PC,Linux,'4.7 M7',5,1,0,0,0,0,medium,normal,0
UI,Lars.Vogel,david.weiser,4.6,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,patrick.tasse,loskutov,4.6,All,All,'4.7 M7',5,7,0,0,0,0,medium,normal,0
UI,loskutov,loskutov,4.6,PC,Linux,'4.6 M7',2,3,0,0,0,1,medium,blocker,0
UI,david_williams,daniel_megert,4.3,All,All,'4.4 M3',3,1,0,0,0,0,medium,blocker,0
UI,sudol.wojciech,markus_keller,4.4,PC,'Windows 7','4.4 M6',3,1,0,0,0,0,medium,major,0
UI,markus_keller,david.weiser,4.7,All,All,'4.7 M7',1,2,0,0,0,2,medium,major,0
UI,Lars.Vogel,Lars.Vogel,4.6,PC,Linux,'4.7 M7',2,4,0,0,0,0,medium,normal,0
UI,bsd,loskutov,4.2,All,All,'4.7 M7',2,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.6,PC,Linux,---,7,4,0,0,0,0,medium,normal,0
UI,david.weiser,david.weiser,4.7,All,All,'4.7 M7',2,2,0,0,0,0,medium,enhancement,0
UI,Lars.Vogel,Platform-UI-Inbox,4.6,PC,Linux,---,3,0,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.3,PC,All,'4.6 M4',6,6,0,0,0,1,medium,enhancement,0
UI,akurtakov,akurtakov,4.7,PC,Linux,'4.7 M7',0,4,0,0,0,0,medium,normal,0
UI,david.weiser,david.weiser,4.7,PC,Linux,'4.7 M6',3,2,0,0,0,1,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.6,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,david.weiser,4.6,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,david.weiser,4.6,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,david.weiser,4.6,PC,Linux,'4.7 M7',1,2,0,0,0,0,medium,normal,0
UI,andreas.sewe,loskutov,4.7,All,All,'4.7 M7',2,2,0,0,0,0,medium,normal,0
UI,med.medin.2014,Platform-UI-Inbox,4.7,PC,Linux,---,0,0,0,0,0,0,medium,critical,0
UI,loskutov,loskutov,4.6,All,All,'4.7 M7',0,4,0,0,0,0,medium,normal,0
UI,gunnar,Platform-UI-Inbox,4.7,All,All,'4.7 M7',2,0,0,0,0,0,medium,normal,0
UI,Lars.Vogel,Lars.Vogel,4.5,PC,Linux,'4.7 M3',3,7,0,0,0,0,medium,blocker,0
UI,ralf,Platform-UI-Inbox,4.3,All,All,---,18,0,0,0,0,1,medium,enhancement,4
UI,raap,raap,4.6,PC,'Windows 10','4.7 M7',2,4,0,0,0,0,medium,normal,0
UI,redel,Platform-UI-Inbox,4.7,PC,All,---,3,1,0,0,0,0,medium,minor,0
UI,redel,Platform-UI-Inbox,4.6,PC,'Mac OS X',---,1,2,0,0,0,0,medium,normal,0
UI,redel,Platform-UI-Inbox,4.6,PC,All,---,1,2,0,0,0,0,medium,normal,1
UI,raap,Platform-UI-Inbox,4.6,PC,'Windows 10',---,0,1,0,0,0,0,medium,normal,0
UI,titou10.titou10,titou10.titou10,1.0,PC,'Windows 7',4.6.1,7,4,0,0,0,0,medium,major,2
UI,albert.tregnaghi,Platform-UI-Inbox,4.6,PC,'Windows 7',---,2,0,0,0,0,0,medium,normal,0
UI,freidin.alex,freidin.alex,4.6,PC,'Windows 7','4.7 M6',3,2,0,0,0,0,medium,normal,0
UI,Lars.Vogel,david.weiser,4.7,PC,Linux,'4.7 M6',2,4,0,0,0,1,medium,normal,0
UI,Andrei.Pozolotin,Platform-UI-Inbox,4.6,PC,Linux,---,2,0,0,0,0,0,medium,major,0
UI,remy.suen,loskutov,4.1,All,All,'4.7 M6',6,8,0,0,0,1,medium,normal,2
UI,Matthias.Striegl,loskutov,4.6,All,All,'4.7 M6',1,2,0,0,0,0,medium,normal,0
UI,loskutov,loskutov,4.7,PC,All,'4.7 M6',0,2,0,0,0,0,medium,normal,0
UI,loskutov,loskutov,4.6,All,All,'4.7 M6',4,7,0,0,0,0,medium,normal,0
UI,eclipse.sprigogin,loskutov,4.6,All,All,4.6.2,4,4,0,0,0,0,medium,normal,0
UI,mickael.lanoe,loskutov,4.5.1,PC,All,'4.7 M1',3,3,0,0,0,0,medium,normal,0
UI,jsholl,mdelder,3.2,PC,'Windows XP',---,0,0,0,0,0,0,medium,normal,0
